state,college_name
Colorado,Columbia College of Missouri
Colorado,Johnson & Wales University
Colorado,Nazarene Bible College
Colorado,Naropa University
Colorado,Regis University
Colorado,University of Denver
Colorado,CollegeAmerica
Colorado,Colorado Technical University
Colorado,DeVry University
Colorado,Rocky Mountain College of Art + Design
Colorado,William Howard Taft University
Colorado,Colorado Heights University
Colorado,Jones International University
Colorado,National American University
Connecticut,Albertus Magnus College
Connecticut,Asnuntuck Community College
Connecticut,Capital Community College
Connecticut,Central Connecticut State University
Connecticut,Charter Oak State College
Connecticut,Connecticut College
Connecticut,Eastern Connecticut State University
Connecticut,Fairfield University
Connecticut,Gateway Community College
Connecticut,Goodwin University
Connecticut,Hartford Seminary
Connecticut,Holy Apostles College and Seminary
Connecticut,Housatonic Community College
Connecticut,Manchester Community College
Connecticut,Middlesex Community College
Connecticut,Mitchell College
Connecticut,Naugatuck Valley Community College
Connecticut,Northwestern Connecticut Community College
Connecticut,Norwalk Community College
Connecticut,Paier College of Art
Connecticut,Post University
Connecticut,Quinebaug Valley Community College
Connecticut,Quinnipiac University
Connecticut,Sacred Heart University
Connecticut,Southern Connecticut State University
Connecticut,Three Rivers Community College
Connecticut,Trinity College
Connecticut,Tunxis Community College
Connecticut,United States Coast Guard Academy
Connecticut,University of Bridgeport
Connecticut,University of Connecticut
Connecticut,University of Hartford
Connecticut,University of New Haven
Connecticut,University of Saint Joseph
Connecticut,Wesleyan University
Connecticut,Western Connecticut State University
Connecticut,Yale University
Connecticut,Annhurst College
Connecticut,Bais Binyomin Academy
Connecticut,Bridgeport Hospital School of Nursing
Connecticut,Lincoln College of New England
Connecticut,Litchfield Law School
Connecticut,Longview College
Connecticut,Mount Sacred Heart College
Connecticut,College of Notre Dame
Connecticut,Saint Alphonsus College
Connecticut,St. Basil College Seminary
Connecticut,St. Thomas Seminary
Connecticut,St. Vincent's College
Connecticut,Seat of Wisdom College
Connecticut,Silvermine College of Art
Connecticut,Wilcox College of Nursing
Delaware,Delaware College of Art and Design
Delaware,Delaware State University
Delaware,Delaware Technical Community College
Delaware,Goldey–Beacom College
Delaware,University of Delaware
Delaware,Wesley College
Delaware,Widener University School of Law
Delaware,Wilmington University
Delaware,Brandywine Junior College
Delaware,St. Mary's College
Delaware,Wesleyan Female College
Delaware,Women's College of Delaware
Hawaii,Hawai‘i Community College
Hawaii,Honolulu Community College
Hawaii,Kapiolani Community College
Hawaii,Kauai Community College
Hawaii,Leeward Community College
Hawaii,Windward Community College
Hawaii,University of Hawai‘i at Hilo
Hawaii,University of Hawaii at Manoa
Hawaii,University of Hawaii–West Oahu
Hawaii,University of Hawaii Maui College
Hawaii,Hawaii Pacific University
Hawaii,Brigham Young University
Hawaii,Chaminade University of Honolulu
Hawaii,Akamai University
Hawaii,Atlantic International University
Hawaii,World Medicine Institute
Hawaii,Institute for Clinical Acupuncture and Oriental Medicine
Iowa,University of Iowa
Iowa,Iowa State University
Iowa,University of Northern Iowa
Iowa,Clinton Community College
Iowa,Des Moines Area Community College
Iowa,Eastern Iowa Community Colleges
Iowa,Ellsworth Community College
Iowa,Hawkeye Community College
Iowa,Indian Hills Community College
Iowa,Iowa Central Community College
Iowa,Iowa Lakes Community College
Iowa,Iowa Western Community College
Iowa,Kirkwood Community College
Iowa,Marshalltown Community College
Iowa,Muscatine Community College
Iowa,North Iowa Area Community College
Iowa,Northeast Iowa Community College
Iowa,Northwest Iowa Community College
Iowa,Scott Community College
Iowa,Southeastern Community College
Iowa,Southwestern Community College
Iowa,Western Iowa Tech Community College
Iowa,Allen College
Iowa,Briar Cliff University
Iowa,Buena Vista University
Iowa,Central College
Iowa,Clarke University
Iowa,Coe College
Iowa,Cornell College
Iowa,Des Moines University
Iowa,Divine Word College
Iowa,Dordt University
Iowa,Drake University
Iowa,Emmaus Bible College
Iowa,Faith Baptist Bible College and Theological Seminary
Iowa,Graceland University
Iowa,Grand View University
Iowa,Grinnell College
Iowa,Iowa Wesleyan University
Iowa,Loras College
Iowa,Luther College
Iowa,Maharishi University of Management
Iowa,Mercy College of Health Sciences
Iowa,Morningside College
Iowa,Mount Mercy University
Iowa,Northwestern College
Iowa,Palmer College of Chiropractic
Iowa,Simpson College
Iowa,St. Ambrose University
Iowa,St. Luke's College
Iowa,University of Dubuque
Iowa,Upper Iowa University
Iowa,Wartburg College
Iowa,Wartburg Theological Seminary
Iowa,William Penn University
Iowa,Hamilton Technical College
Iowa,Waldorf University
Iowa,AIB College of Business
Iowa,Algona College
Iowa,Ashford University
Iowa,Charles City College
Iowa,Des Moines University
Iowa,Grundy College
Iowa,Highland Park College
Iowa,Kaplan University
Iowa,Leander Clark College
Iowa,Lenox College
Iowa,Marycrest International University
Iowa,Midwestern College
Iowa,Ottumwa Heights College
Iowa,Parsons College
Iowa,Sioux Empire College
Iowa,Tabor College
Iowa,Vatterott College
Iowa,Vennard College
Iowa,Westmar University
Iowa,Wilton German English College
Idaho,Boise Bible College
Idaho,Boise State University
Idaho,Brigham Young University–Idaho
Idaho,College of Idaho
Idaho,Idaho College of Osteopathic Medicine
Idaho,College of Southern Idaho
Idaho,College of Western Idaho
Idaho,College of Eastern Idaho
Idaho,Idaho State University
Idaho,Lewis–Clark State College
Idaho,McCall College
Idaho,Great Basin College
Idaho,New Saint Andrews College
Idaho,North Idaho College
Idaho,Northwest Nazarene University
Idaho,Stevens–Henager College
Idaho,University of Idaho
Idaho,Albion State Normal School
Idaho,Magic Valley Christian College
Idaho,Gooding College
Illinois,Chicago State University
Illinois,Eastern Illinois University
Illinois,Governors State University
Illinois,Illinois State University
Illinois,University of Illinois at Chicago
Illinois,University of Illinois at Springfield
Illinois,University of Illinois at Urbana–Champaign
Illinois,Northeastern Illinois University
Illinois,Northern Illinois University
Illinois,Southern Illinois University Carbondale
Illinois,Southern Illinois University Edwardsville
Illinois,Western Illinois University
Illinois,Adler University
Illinois,American Islamic College
Illinois,Augustana College
Illinois,Aurora University
Illinois,Benedictine University
Illinois,Blackburn College
Illinois,Bradley University
Illinois,The Chicago School of Professional Psychology
Illinois,University of Chicago
Illinois,Columbia College Chicago
Illinois,Concordia University Chicago
Illinois,DePaul University
Illinois,Dominican University
Illinois,East–West University
Illinois,Elmhurst College
Illinois,Erikson Institute
Illinois,Eureka College
Illinois,Greenville University
Illinois,Illinois College
Illinois,Illinois Institute of Technology
Illinois,Illinois Wesleyan University
Illinois,Judson University
Illinois,Knox College
Illinois,Lake Forest College
Illinois,Lakeview College of Nursing
Illinois,Lewis University
Illinois,Lincoln Christian University
Illinois,Lincoln College
Illinois,Lindenwood University – Belleville
Illinois,Loyola University
Illinois,Lutheran School of Theology at Chicago
Illinois,MacCormac College
Illinois,McKendree University
Illinois,Midwestern University
Illinois,Millikin University
Illinois,Monmouth College
Illinois,Moody Bible Institute
Illinois,National Louis University
Illinois,National University of Health Sciences
Illinois,North Central College
Illinois,North Park University
Illinois,Northern Baptist Theological Seminary
Illinois,Northwestern University
Illinois,Olivet Nazarene University
Illinois,Principia College
Illinois,Quincy University
Illinois,Rockford University
Illinois,Roosevelt University
Illinois,Rosalind Franklin University of Medicine and Science
Illinois,Rush University
Illinois,Saint Anthony College of Nursing
Illinois,University of St. Francis
Illinois,Saint Xavier University
Illinois,School of the Art Institute of Chicago
Illinois,Spertus Institute for Jewish Learning and Leadership
Illinois,Toyota Technological Institute at Chicago
Illinois,Trinity Christian College
Illinois,Trinity International University
Illinois,VanderCook College of Music
Illinois,Wheaton College
Illinois,American InterContinental University
Illinois,Chamberlain University
Illinois,Coyne College
Illinois,DeVry University
Illinois,Flashpoint Chicago
Illinois,Fox College
Illinois,Illinois Media School[1]
Illinois,Lincoln Tech[2]
Illinois,Midwest College of Oriental Medicine
Illinois,Midwest Technical Institute
Illinois,Northwestern College
Illinois,Pacific College of Oriental Medicine
Illinois,Rasmussen College
Illinois,Rockford Career College
Illinois,Taylor Business Institute
Illinois,Universal Technical Institute
Illinois,University of Phoenix
Indiana,Alexandria School of Scientific Therapeutics
Indiana,Anabaptist Mennonite Biblical Seminary
Indiana,Ancilla College
Indiana,Anderson University
Indiana,Ball State University
Indiana,Bethany Theological Seminary
Indiana,Bethel University
Indiana,Butler University
Indiana,Calumet College of St. Joseph
Indiana,Christian Theological Seminary
Indiana,College of Court Reporting
Indiana,Concordia Theological Seminary
Indiana,Crossroads Bible College
Indiana,DePauw University
Indiana,DeVry University–Indiana
Indiana,Earlham College
Indiana,Franklin College
Indiana,Goshen College
Indiana,Grace College & Seminary
Indiana,Hanover College
Indiana,Holy Cross College
Indiana,Huntington University
Indiana,Indiana Institute of Technology
Indiana,Indiana State University
Indiana,Indiana University Bloomington
Indiana,Indiana University East
Indiana,Indiana University Kokomo
Indiana,Indiana University Northwest
Indiana,Indiana University Fort Wayne[a]
Indiana,Indiana University – Purdue University Indianapolis
Indiana,Indiana University South Bend
Indiana,Indiana University Southeast
Indiana,Indiana Wesleyan University
Indiana,International Business College
Indiana,International Business College–Indianapolis
Indiana,Ivy Tech Community College of Indiana
Indiana,Lincoln Tech[35]
Indiana,Manchester University
Indiana,Marian University
Indiana,Martin University
Indiana,Mid-America College of Funeral Service
Indiana,Oakland City University
Indiana,Ottawa University–Jeffersonville
Indiana,Purdue University
Indiana,Purdue University Fort Wayne[b]
Indiana,Purdue University Northwest
Indiana,Rose-Hulman Institute of Technology
Indiana,Saint Mary's College
Indiana,Saint Mary-of-the-Woods College
Indiana,Saint Meinrad Seminary and School of Theology
Indiana,Taylor University
Indiana,Trine University
Indiana,University of Evansville
Indiana,University of Indianapolis
Indiana,University of Notre Dame
Indiana,University of Saint Francis
Indiana,University of Southern Indiana
Indiana,Valparaiso University
Indiana,Vincennes University
Indiana,Wabash College
Indiana,WGU Indiana
Kansas,The Art Institutes International – Kansas City
Kansas,Associated Mennonite Biblical Seminary - Great Plains[2]
Kansas,Baker University
Kansas,Barclay College
Kansas,Benedictine College
Kansas,Bethany College
Kansas,Bethel College
Kansas,Central Christian College
Kansas,Cleveland University-Kansas City
Kansas,Donnelly College
Kansas,Friends University
Kansas,Heritage Baptist College
Kansas,Hesston College
Kansas,Kansas Christian College
Kansas,Kansas Wesleyan University
Kansas,Manhattan Christian College
Kansas,McPherson College
Kansas,MidAmerica Nazarene University
Kansas,"Newman University, Wichita"
Kansas,Ottawa University
Kansas,Saint Mary's Academy and College
Kansas,Saint Paul School of Theology
Kansas,Southwestern College
Kansas,Sterling College
Kansas,Tabor College
Kansas,University of Saint Mary
Massachusetts,American International College
Massachusetts,Amherst College
Massachusetts,Anna Maria College
Massachusetts,Assumption University
Massachusetts,Babson College
Massachusetts,Bard College at Simon's Rock
Massachusetts,Bay Path University
Massachusetts,Bay State College
Massachusetts,Becker College
Massachusetts,Benjamin Franklin Institute of Technology
Massachusetts,Bentley University
Massachusetts,Berklee College of Music
Massachusetts,Berkshire Community College
Massachusetts,Pope St. John XXIII National Seminary
Massachusetts,Boston Architectural College
Massachusetts,Boston Baptist College
Massachusetts,Boston College
Massachusetts,Boston Graduate School of Psychoanalysis
Massachusetts,Boston University
Massachusetts,Brandeis University
Massachusetts,Bridgewater State University
Massachusetts,Bristol Community College
Massachusetts,Bunker Hill Community College
Massachusetts,Cambridge College
Massachusetts,Cape Cod Community College
Massachusetts,Clark University
Massachusetts,College of the Holy Cross
Massachusetts,Conway School of Landscape Design
Massachusetts,Curry College
Massachusetts,Dean College
Massachusetts,Eastern Nazarene College
Massachusetts,Elms College
Massachusetts,Emerson College
Massachusetts,Emmanuel College
Massachusetts,Endicott College
Massachusetts,Fisher College
Massachusetts,Fitchburg State University
Massachusetts,Framingham State University
Massachusetts,Gordon College
Massachusetts,Gordon–Conwell Theological Seminary
Massachusetts,Greenfield Community College
Massachusetts,Hampshire College
Massachusetts,Harvard University
Massachusetts,Hebrew College
Massachusetts,Hellenic College Holy Cross Greek Orthodox School of Theology
Massachusetts,Holyoke Community College
Massachusetts,Hult International Business School
Massachusetts,Labouré College
Massachusetts,Lasell University
Massachusetts,Lesley University
Massachusetts,Longy School of Music of Bard College
Massachusetts,Massachusetts Bay Community College
Massachusetts,Massachusetts College of Art and Design
Massachusetts,Massachusetts College of Liberal Arts
Massachusetts,Massachusetts Institute of Technology
Massachusetts,Massachusetts Maritime Academy
Massachusetts,Massachusetts School of Law
Massachusetts,Massasoit Community College
Massachusetts,MCPHS University
Massachusetts,Merrimack College
Massachusetts,MGH Institute of Health Professions
Massachusetts,Middlesex Community College
Massachusetts,Montserrat College of Art
Massachusetts,Mount Holyoke College
Massachusetts,Mount Wachusett Community College
Massachusetts,New England College of Optometry
Massachusetts,New England Conservatory of Music
Massachusetts,New England Law Boston
Massachusetts,Nichols College
Massachusetts,North Shore Community College
Massachusetts,Northeastern University
Massachusetts,Northern Essex Community College
Massachusetts,Northpoint Bible College
Massachusetts,Olin College
Massachusetts,Quincy College
Massachusetts,Quinsigamond Community College
Massachusetts,Regis College
Massachusetts,Roxbury Community College
Massachusetts,Saint John's Seminary
Massachusetts,Salem State University
Massachusetts,Simmons University
Massachusetts,Smith College
Massachusetts,Springfield College
Massachusetts,Springfield Technical Community College
Massachusetts,Stonehill College
Massachusetts,Suffolk University
Massachusetts,Tufts University
Massachusetts,University of Massachusetts Amherst
Massachusetts,University of Massachusetts Boston
Massachusetts,University of Massachusetts Dartmouth
Massachusetts,University of Massachusetts Lowell
Massachusetts,University of Massachusetts Medical School
Massachusetts,Urban College of Boston
Massachusetts,Wellesley College
Massachusetts,Wentworth Institute of Technology
Massachusetts,Western New England University
Massachusetts,Westfield State University
Massachusetts,Wheaton College
Massachusetts,William James College
Massachusetts,Williams College
Massachusetts,Worcester Polytechnic Institute
Massachusetts,Worcester State University
Massachusetts,Andover Theological Seminary
Massachusetts,Andover Junior College
Massachusetts,Andover Institute of Business
Massachusetts,Andover Newton Theological Seminary
Massachusetts,Aquinas College
Massachusetts,ArsDigita University
Massachusetts,Art Institute of Boston
Massachusetts,Atlantic Union College
Massachusetts,Berkshire Christian College
Massachusetts,Berkshire Medical College
Massachusetts,Boston Business School
Massachusetts,Boston Female Medical School
Massachusetts,Boston State College
Massachusetts,Bouvé College
Massachusetts,Bradford College
Massachusetts,Bradford Durfee College of Technology
Massachusetts,Bryant & Stratton Business Institute
Massachusetts,Bryant McIntosh College
Massachusetts,Burdett College
Massachusetts,Bussey Institution
Massachusetts,Calvin Coolidge College
Massachusetts,Cambridge Junior College
Massachusetts,Campbell School
Massachusetts,Cardinal Cushing College
Massachusetts,Cardinal O'Connell Seminary
Massachusetts,Cape Cod Hospital School of Nursing
Massachusetts,Central New England College
Massachusetts,Chamberlayne Junior College
Massachusetts,Chandler School for Women
Massachusetts,College of Physicians and Surgeons
Massachusetts,College of Saint Joseph
Massachusetts,Comers Commercial College
Massachusetts,Coyne School of Technical Electricity
Massachusetts,Crane Theological School
Massachusetts,Divine Providence Institute
Massachusetts,Episcopal Divinity School
Massachusetts,Garland Junior College
Massachusetts,Grahm Junior College
Massachusetts,Hallmark Institute of Photography
Massachusetts,Hampden College of Pharmacy
Massachusetts,Holliston Junior College
Massachusetts,Hyannis State Teachers College
Massachusetts,Ipswich Female Seminary
Massachusetts,Kinyon-Campbell Business School
Massachusetts,Kinyon School
Massachusetts,LaFosse Teacher Training College
Massachusetts,Lay College
Massachusetts,Leicester Junior College
Massachusetts,Lowell State College
Massachusetts,Lowell Technological Institute
Massachusetts,Marian Court College
Massachusetts,Marist College and Seminary
Massachusetts,Massachusetts College of Osteopathy
Massachusetts,Middlesex University
Massachusetts,Monroe College of Oratory
Massachusetts,Mount Alvernia College
Massachusetts,Mount Ida College
Massachusetts,New Bedford Institute of Technology
Massachusetts,New England Female Medical College
Massachusetts,New England Institute of Applied Funeral Arts and Sciences
Massachusetts,New England Institute of Art
Massachusetts,New England School of Photography
Massachusetts,Newbury College
Massachusetts,Newton College of the Sacred Heart
Massachusetts,Newton Junior College
Massachusetts,Newton Theological Institution
Massachusetts,Northampton Junior College
Massachusetts,Oblate College & Seminary
Massachusetts,Oread Institute
Massachusetts,Our Lady of Sorrows
Massachusetts,Perry Normal School
Massachusetts,Pine Manor College
Massachusetts,Queen of Apostles Seminary
Massachusetts,Radcliffe College
Massachusetts,Regina Coeli College
Massachusetts,Revere Lay College
Massachusetts,Sacred Heart College for Teachers
Massachusetts,Saint Gabriel's Institute
Massachusetts,Saint Hyacinth College & Seminary
Massachusetts,Saint Joseph Teacher Training Institute
Massachusetts,Saint Paul's House of Studies
Massachusetts,Saint Stephen's College
Massachusetts,School for Christian Workers
Massachusetts,"School of the Museum of Fine Arts, Boston"
Massachusetts,Southern New England School of Law
Massachusetts,Staley School of the Spoken Word
Massachusetts,Stanley College
Massachusetts,Stevens College
Massachusetts,Swain School of Design
Massachusetts,Swedenborg School of Religion
Massachusetts,Vesper George School of Art
Massachusetts,Wang Institute of Graduate Studies
Massachusetts,Wheelock College
Massachusetts,Winter Hill Business College
Massachusetts,Worcester Junior College
Massachusetts,Worcester Medical Institute
Massachusetts,Worcester Technical Institute
Maine,Bates College
Maine,Beal University
Maine,Bowdoin College
Maine,Central Maine Community College
Maine,Colby College
Maine,College of the Atlantic
Maine,Eastern Maine Community College
Maine,Husson University
Maine,Institute for Doctoral Studies in the Visual Arts
Maine,Kennebec Valley Community College
Maine,Maine College of Art
Maine,Maine Maritime Academy
Maine,Maine College of Health Professions
Maine,Northern Maine Community College
Maine,Saint Joseph's College of Maine
Maine,Southern Maine Community College
Maine,Thomas College
Maine,Unity College
Maine,University of Maine
Maine,University of Maine at Augusta
Maine,University of Maine at Farmington
Maine,University of Maine at Fort Kent
Maine,University of Maine at Machias
Maine,University of Maine at Presque Isle
Maine,University of New England
Maine,University of Southern Maine
Maine,Washington County Community College
Maine,York County Community College
Maine,Bangor Theological Seminary
Maine,Bliss College
Maine,Casco Bay College
Maine,Eastern State Normal School
Maine,Gorham State College
Maine,Immaculate Heart of Mary Institute
Maine,John F. Kennedy College
Maine,LaMennais College
Maine,Mid-State College
Maine,Nasson College
Maine,Northern Conservatory of Music
Maine,Oblate College & Seminary
Maine,Ricker College
Maine,Salt Institute for Documentary Studies
Maine,Westbrook College
Michigan,Adrian College
Michigan,Albion College
Michigan,Alma College
Michigan,Alpena Community College
Michigan,Andrews University
Michigan,Aquinas College
Michigan,Baker College
Michigan,Bay de Noc Community College
Michigan,Bay Mills Community College
Michigan,Calvin University
Michigan,Calvin Theological Seminary
Michigan,Central Michigan University
Michigan,Cleary University
Michigan,College for Creative Studies
Michigan,Concordia University Ann Arbor
Michigan,Cornerstone University
Michigan,Cranbrook Academy of Art
Michigan,Davenport University
Michigan,Delta College
Michigan,Eastern Michigan University
Michigan,Ecumenical Theological Seminary
Michigan,Ferris State University
Michigan,Finlandia University
Michigan,Glen Oaks Community College
Michigan,Gogebic Community College
Michigan,Grace Christian University
Michigan,Grand Rapids Community College
Michigan,Grand Valley State University
Michigan,Great Lakes Christian College
Michigan,Henry Ford College
Michigan,Hillsdale College
Michigan,Hope College
Michigan,Jackson College
Michigan,Kalamazoo College
Michigan,Kalamazoo Valley Community College
Michigan,Keweenaw Bay Ojibwa Community College
Michigan,Kellogg Community College
Michigan,Kettering University
Michigan,Kirtland Community College
Michigan,Kuyper College
Michigan,Lake Michigan College
Michigan,Lake Superior State University
Michigan,Lansing Community College
Michigan,Lawrence Technological University
Michigan,Macomb Community College
Michigan,Madonna University
Michigan,Michigan School of Psychology
Michigan,Michigan State University
Michigan,Michigan State University College of Law
Michigan,Michigan Technological University
Michigan,Mid Michigan Community College
Michigan,Monroe County Community College
Michigan,Montcalm Community College
Michigan,Moody Theological Seminary–Michigan
Michigan,Mott Community College
Michigan,Muskegon Community College
Michigan,North Central Michigan College
Michigan,Northern Michigan University
Michigan,Northwestern Michigan College
Michigan,Northwood University
Michigan,Oakland Community College
Michigan,Oakland University
Michigan,Olivet College
Michigan,Rochester University
Michigan,Sacred Heart Major Seminary
Michigan,Saginaw Chippewa Tribal College
Michigan,Saginaw Valley State University
Michigan,Schoolcraft College
Michigan,Siena Heights University
Michigan,Southwestern Michigan College
Michigan,Spring Arbor University
Michigan,St. Clair County Community College
Michigan,The Art Institute of Michigan
Michigan,Trine University–Centreville Campus
Michigan,University of Detroit Mercy
Michigan,University of Michigan
Michigan,University of Michigan–Dearborn
Michigan,University of Michigan–Flint
Michigan,University of Phoenix–Michigan
Michigan,Walsh College of Accountancy and Business
Michigan,Washtenaw Community College
Michigan,Wayne County Community College District
Michigan,Wayne State University
Michigan,West Shore Community College
Michigan,Western Michigan University
Michigan,Western Michigan University Cooley Law School
Michigan,Western Theological Seminary
Michigan,Yeshiva Gedolah of Greater Detroit
Michigan,American Medical Missionary College
Michigan,Detroit Institute of Technology
Michigan,DeVry University–Michigan
Michigan,Duns Scotus College
Michigan,Grand Rapids Theological Seminary
Michigan,Grand Traverse College
Michigan,Highland Park Community College
Michigan,International Academy of Design and Technology
Michigan,ITT Technical Institute–Canton
Michigan,ITT Technical Institute–Swartz Creek
Michigan,ITT Technical Institute–Troy
Michigan,ITT Technical Institute–Wyoming
Michigan,Jordan College
Michigan,Mackinac College
Michigan,Maryglade College
Michigan,Marygrove College
Michigan,Michigan Jewish Institute
Michigan,Nazareth College
Michigan,Robert B. Miller College
Michigan,Saint Mary's College
Michigan,William Tyndale College
Minnesota,Alexandria Technical and Community College
Minnesota,Anoka Technical College
Minnesota,Anoka-Ramsey Community College
Minnesota,Bemidji State University
Minnesota,Central Lakes College
Minnesota,Century College
Minnesota,Dakota County Technical College
Minnesota,Fond du Lac Tribal and Community College
Minnesota,Hennepin Technical College
Minnesota,Hibbing Community College
Minnesota,Inver Hills Community College
Minnesota,Itasca Community College
Minnesota,Lake Superior College
Minnesota,Leech Lake Tribal College
Minnesota,Mesabi Range College
Minnesota,Metropolitan State University
Minnesota,Minneapolis Community and Technical College
Minnesota,Minnesota State College Southeast
Minnesota,Minnesota State Community and Technical College
Minnesota,"Minnesota State University, Mankato"
Minnesota,Minnesota State University Moorhead
Minnesota,Minnesota West Community and Technical College
Minnesota,Normandale Community College
